Subject,Fluency_Item,Semantic_Similarity,Frequency_Value
5d7ff4aa50fda7001a863736,crocheting,0.894252171232845,5.311777164036904
5f5aa60bef062519ff711fe6,knitting,0.0001,6.743197101286425
5f5aa60bef062519ff711fe6,crocheting,0.894252171232845,5.311777164036904
5f5aa60bef062519ff711fe6,gaming,0.3974178835561957,6.804288307780528
5f5aa60bef062519ff711fe6,racing,0.5370139243794405,7.167984394856833
5f5aa60bef062519ff711fe6,running,0.6782838307078719,8.091638029454867
5f5aa60bef062519ff711fe6,swimming,0.6768997526132576,7.308168630480959
5f5aa60bef062519ff711fe6,watching,0.40127742640407593,7.657281350022744
5f5aa60bef062519ff711fe6,hiking,0.36478724977300714,6.601631022316016
5f5aa60bef062519ff711fe6,climbing,0.7141087042589763,7.120043702590287
5f5aa60bef062519ff711fe6,skydiving,0.5831690464957237,5.126796793829542
5f5aa60bef062519ff711fe6,planner,0.2500737211127888,6.678731103915477
5f5aa60bef062519ff711fe6,collecting,0.351709592747911,7.469052515657159
5f5aa60bef062519ff711fe6,drawing,0.45981804365407186,7.941434326096744
5f5aa60bef062519ff711fe6,creating,0.4726128070044757,7.790067701921103
5f5aa60bef062519ff711fe6,sports,0.3219038791204565,7.632096830066516
5f5aa60bef062519ff711fe6,baseball,0.6705185357502093,7.190414738543353
5f5aa60bef062519ff711fe6,hockey,0.7490038705602021,6.6756284200674765
5f5aa60bef062519ff711fe6,basketball,0.7291595825064962,6.944456120153143
5f5aa60bef062519ff711fe6,football,0.7422851349334963,7.318039761319612
5f5aa60bef062519ff711fe6,soccer,0.8823612978378682,6.7350209195725474
5f5aa60bef062519ff711fe6,painting,0.4080944902089072,7.714716746555538
5f5aa60bef062519ff711fe6,studying,0.45725552460406216,7.564860045238126
60a48adfe091e410f4eaba34,pc games,0.0001,4.2693494692947205
60a48adfe091e410f4eaba34,watching,0.19008049874133182,7.657281350022744
60a48adfe091e410f4eaba34,sewing,0.35822749759986405,7.062475710082938
60a48adfe091e410f4eaba34,woodworking,0.5288210909538408,6.358371207950723
60a48adfe091e410f4eaba34,knitting,0.5038990703975734,6.743197101286425
60a48adfe091e410f4eaba34,playing games,0.32173789504349193,5.8435199281344055
60a48adfe091e410f4eaba34,baking,0.3171100916771812,7.098062489801911
60a48adfe091e410f4eaba34,animation,0.424135454949389,6.838103478667308
60a48adfe091e410f4eaba34,sports,0.38708112904882186,7.632096830066516
60a48adfe091e410f4eaba34,taxidermy,0.29021254456004597,5.425680916828624
60a48adfe091e410f4eaba34,music,0.24101973338214877,8.275757009155548
60a48adfe091e410f4eaba34,writing,0.49519842388436863,8.29420327936938
60a48adfe091e410f4eaba34,baking,0.46413365868921896,7.098062489801911
60d731567049e5132e3cc4d4,knitting,0.0001,6.743197101286425
60d731567049e5132e3cc4d4,and,0.14553385834734356,10.680670807068848
60d731567049e5132e3cc4d4,crocheting,0.10682316048388307,5.311777164036904
60d731567049e5132e3cc4d4,embroidering,0.6660972810169046,5.5445107989553355
60d731567049e5132e3cc4d4,sewing,0.7644208135032571,7.062475710082938
60d731567049e5132e3cc4d4,running,0.4163314695400341,8.091638029454867
60d731567049e5132e3cc4d4,hiking,0.635779554916985,6.601631022316016
60d731567049e5132e3cc4d4,fishing,0.5179403054978174,7.761591280097002
60d731567049e5132e3cc4d4,camping,0.522189693916866,6.871101610463936
60d731567049e5132e3cc4d4,and,0.21544175825231648,10.680670807068848
60d731567049e5132e3cc4d4,canoeing,0.1428309151842735,5.9121795286747725
60d731567049e5132e3cc4d4,kayaking,0.859818403581398,5.610076453903049
60d731567049e5132e3cc4d4,basketball,0.400620009022269,6.944456120153143
60d731567049e5132e3cc4d4,volleyball,0.7130837883304588,6.211862961206843
60d731567049e5132e3cc4d4,baseball,0.6487744190795216,7.190414738543353
60d731567049e5132e3cc4d4,softball,0.8200311834878287,6.191192149241763
60d731567049e5132e3cc4d4,football,0.6429115528308273,7.318039761319612
60d731567049e5132e3cc4d4,soccer,0.8823612978378682,6.7350209195725474
60d731567049e5132e3cc4d4,kickball,0.6849291447931125,4.769775984917649
60d731567049e5132e3cc4d4,badminton,0.611756207674185,5.940726110912111
60d731567049e5132e3cc4d4,tennis,0.7123078749079699,7.10966205704442
60d731567049e5132e3cc4d4,writing,0.3766424522433496,8.29420327936938
60d731567049e5132e3cc4d4,reading,0.601101241003865,8.33151751916652
60d731567049e5132e3cc4d4,cooking,0.49895963990289494,7.442814391796466
60d731567049e5132e3cc4d4,baking,0.8097667793420059,7.098062489801911
60d731567049e5132e3cc4d4,sketching,0.49297443552913633,6.346076463874791
60d731567049e5132e3cc4d4,painting,0.5964655168943392,7.714716746555538
60d731567049e5132e3cc4d4,pottery,0.5428351357101727,7.200120006810138
60d731567049e5132e3cc4d4,baking,0.5343883765730639,7.098062489801911
60d731567049e5132e3cc4d4,baking,1.0,7.098062489801911
60d731567049e5132e3cc4d4,thrifting,0.28075735375638355,3.513483956704257
60d731567049e5132e3cc4d4,walking,0.2642500447723677,7.718085347230461
60d731567049e5132e3cc4d4,traveling,0.6137859192743601,7.415567607284269
60d731567049e5132e3cc4d4,tango,0.3113289869836654,6.063426438891258
60d731567049e5132e3cc4d4,swimming,0.31111115915283283,7.308168630480959
60d731567049e5132e3cc4d4,diving,0.6767547634186799,6.8589480190162675
60d731567049e5132e3cc4d4,gardening,0.35883758491403595,6.8631605345351785
60d731567049e5132e3cc4d4,collecting,0.5123883205948607,7.469052515657159
60d731567049e5132e3cc4d4,cooking,0.43714792112198353,7.442814391796466
60d731567049e5132e3cc4d4,collecting,0.43714792112198353,7.469052515657159
60d731567049e5132e3cc4d4,music,0.32925410190689797,8.275757009155548
60d731567049e5132e3cc4d4,darts,0.297381033655866,6.351895209680201
60d731567049e5132e3cc4d4,singing,0.3009291921664964,7.509436427079525
60d731567049e5132e3cc4d4,dancing,0.6580561488811871,7.386941737973041
63e802622f8052bd67d6c5f0,fishing,0.0001,7.761591280097002
63e802622f8052bd67d6c5f0,bicycling,0.44998121130038116,5.893641385347791
63e802622f8052bd67d6c5f0,running,0.668670501534325,8.091638029454867
63e802622f8052bd67d6c5f0,gaming,0.5038780927290176,6.804288307780528
63e802622f8052bd67d6c5f0,reading,0.5418382527464003,8.33151751916652
63e802622f8052bd67d6c5f0,walking,0.44237154760144604,7.718085347230461
63e802622f8052bd67d6c5f0,biking,0.6947891692556596,5.8944107773
63e802622f8052bd67d6c5f0,skateboarding,0.6117067134473985,5.285307461570708
63e802622f8052bd67d6c5f0,rollerblading,0.693031862060565,4.53552196990297
63e802622f8052bd67d6c5f0,skating,0.7833803902641466,6.509726049165813
63e802622f8052bd67d6c5f0,football,0.5110452706092652,7.318039761319612
63e802622f8052bd67d6c5f0,basketball,0.7422851349334963,6.944456120153143
63e802622f8052bd67d6c5f0,baseball,0.738222814593198,7.190414738543353
63e802622f8052bd67d6c5f0,hockey,0.7490038705602021,6.6756284200674765
63e802622f8052bd67d6c5f0,sightseeing,0.24667952132873605,6.223362491074722
63e802622f8052bd67d6c5f0,running,0.3605726954058114,8.091638029454867
63e802622f8052bd67d6c5f0,bowling,0.46996218546237256,6.8331510020515145
63e802622f8052bd67d6c5f0,racing,0.4688686935947002,7.167984394856833
63ea4ab1ce4168cbe9f63775,watching,0.0001,7.657281350022744
63ea4ab1ce4168cbe9f63775,sports,0.4218612559135124,7.632096830066516
63ea4ab1ce4168cbe9f63775,woodworking,0.4004198458455117,6.358371207950723
63ea4ab1ce4168cbe9f63775,running,0.3480384401632374,8.091638029454867
63ea4ab1ce4168cbe9f63775,collecting,0.455340462350186,7.469052515657159
63ea4ab1ce4168cbe9f63775,baseball,0.3632592472220537,7.190414738543353
63ea4ab1ce4168cbe9f63775,cars,0.4582089911711571,7.932350470456433
63ea4ab1ce4168cbe9f63775,cooking,0.4950947331244262,7.442814391796466
63ea4ab1ce4168cbe9f63775,arts and crafts,0.3622728543225455,6.375449797019579
63ea4ab1ce4168cbe9f63775,watching,0.11909035268752288,7.657281350022744
63ea4ab1ce4168cbe9f63775,creative writing,0.17775013035791087,6.12564942059341
63ea4ab1ce4168cbe9f63775,poetry,0.5313699590353174,7.830847827302567
63ea4ab1ce4168cbe9f63775,traveling,0.3785964493179519,7.415567607284269
63ea4ab1ce4168cbe9f63775,restaurants,0.4549731346670334,7.176748312568262
63ea4ab1ce4168cbe9f63775,watching,0.32343921070312,7.657281350022744
63ea4ab1ce4168cbe9f63775,fishing,0.3647153982420408,7.761591280097002
63ea4ab1ce4168cbe9f63775,hunting,0.6615837859551434,7.5673475193773
63ea4ab1ce4168cbe9f63775,kayaking,0.46994338409479863,5.610076453903049
63ea4ab1ce4168cbe9f63775,walking,0.4686526803731095,7.718085347230461
63ea4ab1ce4168cbe9f63775,volunteering,0.3755831773132665,6.248300949165895
63ea4ab1ce4168cbe9f63775,reading,0.4202497024493326,8.33151751916652
63ea4ab1ce4168cbe9f63775,baking,0.4388586785702917,7.098062489801911
63ea4ab1ce4168cbe9f63775,learning,0.4798306218916678,8.257935167092453
63ea4ab1ce4168cbe9f63775,working out,0.4684377349689366,6.763521806013703
63ea4ab1ce4168cbe9f63775,cars,0.3797526603811321,7.932350470456433
63ea4ab1ce4168cbe9f63775,driving,0.6746151780077735,7.781285846004883
